"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"1353","LOYANG VALLEY","202 Loyang Avenue  #01-01",1,184,"Strata",1495000,"-",8125,755,"19-AUG-2020","Condominium","99 Yrs From 20/08/1982","1985","Resale","Private","17","50","509059","East Region","Pasir Ris","Singapore","Singapore"
"1354","AUSTVILLE RESIDENCES","19 Sengkang East Avenue  #01-18",1,116,"Strata",1050000,"-",9052,841,"19-AUG-2020","Executive Condominium","99 Yrs From 24/08/2010","2014","Resale","Private","19","54","544808","North East Region","Sengkang","Singapore","Singapore"
"1355","WATERCOLOURS","33 Pasir Ris Link  #05-32",1,85,"Strata",781888,"-",9199,855,"19-AUG-2020","Executive Condominium","99 Yrs From 10/01/2012","2014","Resale","HDB","18","51","518154","East Region","Pasir Ris","Singapore","Singapore"
"1356","TREASURE AT TAMPINES","17 Tampines Lane  #02-66",1,61,"Strata",916000,"-",15016,1395,"19-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528477","East Region","Tampines","Singapore","Singapore"
"1357","PARC CANBERRA","9 Canberra Walk  #02-19",1,107,"Strata",1217000,"-",11374,1057,"19-AUG-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756945","North Region","Sembawang","Singapore","Singapore"
"1358","SIMSVILLE","6 Geylang East Avenue 2  #10-07",1,115,"Strata",1320000,"-",11478,1066,"19-AUG-2020","Condominium","99 Yrs From 01/12/1994","1998","Resale","Private","14","38","389756","Central Region","Geylang","Singapore","Singapore"
"1359","JADESCAPE","4 Shunfu Road  #18-13",1,49,"Strata",948400,"-",19355,1798,"19-AUG-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","HDB","20","57","575743","Central Region","Bishan","Singapore","Singapore"
"1360","THE RAINFOREST","341 Choa Chu Kang Avenue 3  #18-24",1,89,"Strata",946000,"-",10629,987,"19-AUG-2020","Executive Condominium","99 Yrs From 28/06/2011","2015","Resale","HDB","23","68","689874","West Region","Choa Chu Kang","Singapore","Singapore"
"1361","ELLIOT AT THE EAST COAST","25 Elliot Road  #01-09",1,236,"Strata",2700000,"-",11441,1063,"19-AUG-2020","Condominium","Freehold","2012","Resale","Private","15","45","458705","East Region","Bedok","Singapore","Singapore"
"1362","CAVENDISH PARK","18 Pine Grove  #05-05",1,118,"Strata",1450000,"-",12288,1142,"19-AUG-2020","Condominium","99 Yrs From 18/11/1991","1996","Resale","Private","21","59","597594","Central Region","Bukit Timah","Singapore","Singapore"
"1363","RIVERPARC RESIDENCE","102 Punggol Drive  #09-25",1,77,"Strata",790000,"-",10260,953,"19-AUG-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","HDB","19","82","828800","North East Region","Punggol","Singapore","Singapore"
"1364","THE SCOTTS TOWER","38 Scotts Road  #21-03",1,78,"Strata",2e+06,"-",25641,2382,"19-AUG-2020","Condominium","103 Yrs From 01/10/2010","2016","Resale","HDB","09","22","228240","Central Region","Newton","Singapore","Singapore"
"1365","BLOSSOM RESIDENCES","32 Segar Road  #11-23",1,98,"Strata",890000,"-",9082,844,"19-AUG-2020","Executive Condominium","99 Yrs From 02/03/2011","2014","Resale","Private","23","67","677722","West Region","Bukit Panjang","Singapore","Singapore"
"1366","TWIN WATERFALLS","104 Punggol Walk  #13-12",1,85,"Strata",890000,"-",10471,973,"19-AUG-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","Private","19","82","828792","North East Region","Punggol","Singapore","Singapore"
"1367","JADESCAPE","10 Shunfu Road  #05-35",1,71,"Strata",1369900,"-",19294,1792,"19-AUG-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"1368","PEBBLE BAY","130 Tanjong Rhu Road  #07-07",1,128,"Strata",1920000,"-",15000,1394,"19-AUG-2020","Condominium","99 Yrs From 09/03/1994","1997","Resale","Private","15","43","436918","Central Region","Kallang","Singapore","Singapore"
"1369","THE CANOPY","83 Yishun Avenue 11  #05-27",1,81,"Strata",725000,"-",8951,832,"19-AUG-2020","Executive Condominium","99 Yrs From 14/06/2010","2014","Resale","HDB","27","76","768864","North Region","Yishun","Singapore","Singapore"
"1370","THE HILLSIDE","343 Upper Bukit Timah Road  #09-09",1,301,"Strata",3250000,"-",10797,1003,"19-AUG-2020","Condominium","Freehold","2001","Resale","Private","21","58","588196","West Region","Bukit Batok","Singapore","Singapore"
"1371","EURO-ASIA PARK","25 Woodleigh Close  #01-30",1,83,"Strata",1110000,"-",13373,1242,"19-AUG-2020","Condominium","Freehold","1996","Resale","Private","13","35","357920","Central Region","Toa Payoh","Singapore","Singapore"
"1372","D'NEST","147 Pasir Ris Grove  #12-74",1,118,"Strata",1358000,"-",11508,1069,"18-AUG-2020","Condominium","99 Yrs From 20/10/2010","2017","Resale","Private","18","51","518138","East Region","Pasir Ris","Singapore","Singapore"
"1373","VARSITY PARK CONDOMINIUM","50 West Coast Road  #04-53",1,119,"Strata",1538000,"-",12924,1201,"18-AUG-2020","Condominium","99 Yrs From 03/05/2004","2008","Resale","Private","05","12","127363","West Region","Clementi","Singapore","Singapore"
"1374","REGENT PARK","22 Jalan Lempeng  #06-03",1,109,"Strata",1185000,"-",10872,1010,"18-AUG-2020","Condominium","99 Yrs From 01/12/1993","1997","Resale","HDB","05","12","128803","West Region","Clementi","Singapore","Singapore"
"1375","HILLVIEW RESIDENCE","138 Hillview Avenue  #10-05",1,117,"Strata",1300000,"-",11111,1032,"18-AUG-2020","Condominium","999 Yrs From 12/10/1885","2002","Resale","HDB","23","66","669599","West Region","Bukit Batok","Singapore","Singapore"
"1376","TREASURE AT TAMPINES","5 Tampines Lane  #10-18",1,85,"Strata",1282000,"-",15082,1401,"18-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528485","East Region","Tampines","Singapore","Singapore"
"1377","MERAPRIME","301 Jalan Bukit Ho Swee  #13-04",1,78,"Strata",1180000,"-",15128,1405,"18-AUG-2020","Condominium","99 Yrs From 20/06/2003","2006","Resale","Private","03","16","169568","Central Region","Bukit Merah","Singapore","Singapore"
"1378","DOUBLE BAY RESIDENCES","17C Simei Street 4  #01-13",1,164,"Strata",1583000,"-",9652,897,"18-AUG-2020","Condominium","99 Yrs From 07/04/2008","2012","Resale","Private","18","52","529884","East Region","Tampines","Singapore","Singapore"
"1379","HAIG COURT","156 Haig Road  #12-05",1,130,"Strata",1980000,"-",15231,1415,"18-AUG-2020","Condominium","Freehold","2004","Resale","Private","15","43","438793","Central Region","Marine Parade","Singapore","Singapore"
"1380","PARVIS","18 Holland Hill  #08-23",1,92,"Strata",2130000,"-",23152,2151,"18-AUG-2020","Condominium","Freehold","2012","Resale","Private","10","27","278746","Central Region","Bukit Timah","Singapore","Singapore"
"1381","BLOSSOM RESIDENCES","30 Segar Road  #08-06",1,90,"Strata",870000,"-",9667,898,"18-AUG-2020","Executive Condominium","99 Yrs From 02/03/2011","2014","Resale","HDB","23","67","677721","West Region","Bukit Panjang","Singapore","Singapore"
"1382","REFLECTIONS AT KEPPEL BAY","25 Keppel Bay View  #19-76",1,173,"Strata",2708000,"-",15653,1454,"18-AUG-2020","Condominium","99 Yrs From 15/03/2006","2011","Resale","Private","04","09","098415","Central Region","Bukit Merah","Singapore","Singapore"
"1383","D'LEEDON","5 Leedon Heights  #26-12",1,149,"Strata",2850000,"-",19128,1777,"18-AUG-2020","Condominium","99 Yrs From 08/04/2010","2014","Resale","Private","10","26","267952","Central Region","Bukit Timah","Singapore","Singapore"
"1384","ONE BALMORAL","1 Balmoral Road  #12-03",1,250,"Strata",5400000,"-",21600,2007,"18-AUG-2020","Condominium","Freehold","2016","Resale","Private","10","25","259784","Central Region","Tanglin","Singapore","Singapore"
"1385","CENTRO RESIDENCES","59 Ang Mo Kio Avenue 8  #24-12",1,93,"Strata",1440000,"-",15484,1438,"18-AUG-2020","Condominium","99 Yrs From 11/12/2007","2014","Resale","HDB","20","56","567752","North East Region","Ang Mo Kio","Singapore","Singapore"
"1386","WANDERVALE","365 Choa Chu Kang Avenue 3  #02-32",1,102,"Strata",1035888,"-",10156,943,"18-AUG-2020","Executive Condominium","99 Yrs From 08/12/2014","2018","Resale","HDB","23","68","689886","West Region","Choa Chu Kang","Singapore","Singapore"
"1387","YEW MEI GREEN","52 Choa Chu Kang North 6  #02-19",1,120,"Strata",850000,"-",7083,658,"18-AUG-2020","Executive Condominium","99 Yrs From 01/12/1997","2000","Resale","HDB","23","68","689575","West Region","Choa Chu Kang","Singapore","Singapore"
"1388","THE RAINFOREST","335 Choa Chu Kang Avenue 3  #02-10",1,105,"Strata",1082000,"-",10305,957,"18-AUG-2020","Executive Condominium","99 Yrs From 28/06/2011","2015","Resale","HDB","23","68","689871","West Region","Choa Chu Kang","Singapore","Singapore"
"1389","STURDEE RESIDENCES","10 Beatty Road  #09-09",1,96,"Strata",1690000,"-",17604,1635,"18-AUG-2020","Condominium","99 Yrs From 29/06/2015","2019","Sub Sale","Private","08","20","209955","Central Region","Kallang","Singapore","Singapore"
"1390","PARC VERA","10 Hougang Street 32  #16-21",1,81,"Strata",850000,"-",10494,975,"18-AUG-2020","Condominium","99 Yrs From 20/12/2010","2014","Resale","HDB","19","53","534037","North East Region","Hougang","Singapore","Singapore"
"1391","8 SAINT THOMAS","10 St. Thomas Walk  #17-09",1,121,"Strata",3638000,"-",30066,2793,"18-AUG-2020","Condominium","Freehold","2018","Resale","HDB","09","23","238102","Central Region","River Valley","Singapore","Singapore"
"1392","MARTIN PLACE RESIDENCES","6 Martin Place  #12-07",1,55,"Strata",1310000,"-",23818,2213,"18-AUG-2020","Condominium","Freehold","2011","Resale","HDB","09","23","237990","Central Region","River Valley","Singapore","Singapore"
"1393","THE LAURELS","40 Cairnhill Road  #18-14",1,51,"Strata",1450000,"-",28431,2641,"18-AUG-2020","Condominium","Freehold","2013","Resale","Private","09","22","229660","Central Region","Newton","Singapore","Singapore"
"1394","CORONATION GROVE","140 Coronation Road  #02-01",1,178,"Strata",3280000,"-",18427,1712,"18-AUG-2020","Condominium","999 Yrs From 27/12/1875","1985","Resale","Private","10","26","269526","Central Region","Bukit Timah","Singapore","Singapore"
"1395","HERITAGE VIEW","6 Dover Rise  #17-08",1,122,"Strata",1620000,"-",13279,1234,"18-AUG-2020","Condominium","99 Yrs From 12/08/1996","2000","Resale","Private","05","13","138678","Central Region","Queenstown","Singapore","Singapore"
"1396","TANJONG RIA CONDOMINIUM","121 Tanjong Rhu Road  #02-12",1,75,"Strata",942000,"-",12560,1167,"18-AUG-2020","Condominium","99 Yrs From 31/05/1993","1997","Resale","Private","15","43","436914","Central Region","Kallang","Singapore","Singapore"
"1397","THE MAKENA","121 Meyer Road  #11-12",1,86,"Strata",1480000,"-",17209,1599,"18-AUG-2020","Condominium","Freehold","1998","Resale","Private","15","43","437932","Central Region","Marine Parade","Singapore","Singapore"
"1398","THE OCEANFRONT @ SENTOSA COVE","285 Ocean Drive  #06-07",1,175,"Strata",2650000,"-",15143,1407,"18-AUG-2020","Condominium","99 Yrs From 10/08/2005","2010","Resale","Private","04","09","098529","Central Region","Southern Islands","Singapore","Singapore"
"1399","SOLEIL @ SINARAN","2 Sinaran Drive  #02-02",1,54,"Strata",980000,"-",18148,1686,"18-AUG-2020","Condominium","99 Yrs From 23/10/2006","2011","Resale","HDB","11","30","307467","Central Region","Novena","Singapore","Singapore"
"1400","TREASURE AT TAMPINES","51 Tampines Lane  #07-173",1,63,"Strata",982000,"-",15587,1448,"18-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528460","East Region","Tampines","Singapore","Singapore"
"1401","TREVISTA","23 Lorong 3 Toa Payoh  #35-08",1,161,"Strata",2400000,"-",14907,1385,"18-AUG-2020","Condominium","99 Yrs From 15/07/2008","2011","Resale","HDB","12","31","319582","Central Region","Toa Payoh","Singapore","Singapore"
"1402","FERRARIA PARK CONDOMINIUM","10 Flora Drive  #04-09",1,123,"Strata",1300000,"-",10569,982,"18-AUG-2020","Condominium","Freehold","2009","Resale","HDB","17","50","506942","East Region","Pasir Ris","Singapore","Singapore"
"1403","GOLDENHILL PARK CONDOMINIUM","66 Mei Hwan Drive  #14-10",1,124,"Strata",2039033,"-",16444,1528,"18-AUG-2020","Condominium","Freehold","2004","Resale","Private","20","56","568429","North East Region","Serangoon","Singapore","Singapore"
"1404","SEA ESTA","30 Pasir Ris Link  #10-30",1,112,"Strata",1250000,"-",11161,1037,"18-AUG-2020","Condominium","99 Yrs From 09/01/2012","2015","Resale","Private","18","51","518147","East Region","Pasir Ris","Singapore","Singapore"
"1405","PARC CANBERRA","13 Canberra Walk  #02-28",1,93,"Strata",1154000,"-",12409,1153,"18-AUG-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756947","North Region","Sembawang","Singapore","Singapore"
"1406","DALVEY HAUS","101 Dalvey Road  #01-07",1,259,"Strata",8900000,"-",34363,3192,"18-AUG-2020","Condominium","Freehold","Uncompleted","New Sale","Private","10","25","259514","Central Region","Tanglin","Singapore","Singapore"
"1407","SEVENTY SAINT PATRICK'S","78 St. Patrick'S Road  #04-23",1,110,"Strata",1950000,"-",17727,1647,"18-AUG-2020","Condominium","Freehold","2016","Resale","Private","15","42","424180","East Region","Bedok","Singapore","Singapore"
"1408","THE CANOPY","85 Yishun Avenue 11  #04-32",1,111,"Strata",948000,"-",8541,793,"18-AUG-2020","Executive Condominium","99 Yrs From 14/06/2010","2014","Resale","HDB","27","76","768865","North Region","Yishun","Singapore","Singapore"
"1409","SEVENTY SAINT PATRICK'S","76 St. Patrick'S Road  #01-18",1,118,"Strata",2303800,"-",19524,1814,"18-AUG-2020","Condominium","Freehold","2016","Resale","HDB","15","42","424179","East Region","Bedok","Singapore","Singapore"
"1410","THE EDEN AT TAMPINES","37 Tampines Street 34  #10-44",1,112,"Strata",995000,"-",8884,825,"18-AUG-2020","Executive Condominium","99 Yrs From 12/09/2000","2003","Resale","Private","18","52","529240","East Region","Tampines","Singapore","Singapore"
"1411","THE GLYNDEBOURNE","38 Trevose Crescent  #05-16",1,64,"Strata",1250000,"-",19531,1814,"18-AUG-2020","Condominium","Freehold","2013","Resale","Private","11","29","297722","Central Region","Novena","Singapore","Singapore"
"1412","CUBE 8","376 Thomson Road  #16-01",1,124,"Strata",1900000,"-",15323,1424,"18-AUG-2020","Condominium","Freehold","2013","Resale","Private","11","29","298130","Central Region","Novena","Singapore","Singapore"
"1413","RIVERSAILS","12 Upper Serangoon Crescent  #07-32",1,103,"Strata",1130000,"-",10971,1019,"18-AUG-2020","Condominium","99 Yrs From 07/12/2011","2016","Resale","HDB","19","53","534030","North East Region","Hougang","Singapore","Singapore"
"1414","THE ESTUARY","89 Yishun Avenue 1  #10-08",1,122,"Strata",1300000,"-",10656,990,"18-AUG-2020","Condominium","99 Yrs From 25/06/2008","2013","Resale","HDB","27","76","769134","North Region","Yishun","Singapore","Singapore"
"1415","HILLCREST ARCADIA","259 Arcadia Road  #02-05",1,129,"Strata",1400000,"-",10853,1008,"17-AUG-2020","Condominium","99 Yrs From 01/12/1975","1980","Resale","Private","11","28","289852","Central Region","Bukit Timah","Singapore","Singapore"
"1416","WOODSVALE","9 Woodlands Drive 72  #14-18",1,115,"Strata",780000,"-",6783,630,"17-AUG-2020","Executive Condominium","99 Yrs From 22/09/1997","2000","Resale","HDB","25","73","738093","North Region","Woodlands","Singapore","Singapore"
"1417","KERRISDALE","30 Sturdee Road  #02-06",1,117,"Strata",1300000,"-",11111,1032,"17-AUG-2020","Condominium","99 Yrs From 02/04/1998","2005","Resale","HDB","08","20","207852","Central Region","Kallang","Singapore","Singapore"
"1418","DAHLIA PARK CONDOMINIUM","7 Flora Drive  #05-27",1,102,"Strata",875000,"-",8578,797,"17-AUG-2020","Condominium","Freehold","2003","Resale","HDB","17","50","507012","East Region","Pasir Ris","Singapore","Singapore"
"1419","PARK COLONIAL","4 Woodleigh Lane  #14-12",1,63,"Strata",1418000,"-",22508,2091,"17-AUG-2020","Condominium","99 Yrs From 11/10/2017","Uncompleted","New Sale","HDB","13","35","357686","Central Region","Toa Payoh","Singapore","Singapore"
"1420","WATERFRONT KEY","770 Bedok Reservoir Road  #07-04",1,123,"Strata",1540000,"-",12520,1163,"17-AUG-2020","Condominium","99 Yrs From 31/10/2007","2012","Resale","Private","16","47","479250","East Region","Bedok","Singapore","Singapore"
"1421","DAINTREE RESIDENCE","11F Toh Tuck Road  #05-31",1,98,"Strata",1868810,"-",19069,1772,"17-AUG-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","HDB","21","59","596128","Central Region","Bukit Timah","Singapore","Singapore"
"1422","TWIN WATERFALLS","104 Punggol Walk  #05-10",1,101,"Strata",1048888,"-",10385,965,"17-AUG-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","Private","19","82","828792","North East Region","Punggol","Singapore","Singapore"
"1423","ONE JERVOIS","9 Jervois Close  #02-16",1,119,"Strata",2180000,"-",18319,1702,"17-AUG-2020","Condominium","Freehold","2009","Resale","Private","10","24","249105","Central Region","Tanglin","Singapore","Singapore"
"1424","CASA CAMBIO","11 Lim Tua Tow Road  #03-38",1,46,"Strata",735000,"-",15978,1484,"17-AUG-2020","Condominium","Freehold","2014","Resale","Private","19","54","547803","North East Region","Serangoon","Singapore","Singapore"
"1425","GALLOP GABLES","82 Farrer Road  #01-02",1,145,"Strata",2168000,"-",14952,1389,"17-AUG-2020","Condominium","Freehold","1997","Resale","Private","10","26","268856","Central Region","Tanglin","Singapore","Singapore"
"1426","THE MARBELLA","33 Mount Sinai Rise  #06-09",1,139,"Strata",2600000,"-",18705,1738,"17-AUG-2020","Condominium","Freehold","2005","Resale","Private","10","27","276954","Central Region","Bukit Timah","Singapore","Singapore"
"1427","THE BALMORAL","16 Balmoral Park  #01-01",1,291,"Strata",4888000,"-",16797,1561,"17-AUG-2020","Condominium","Freehold","1986","Resale","Private","10","25","259847","Central Region","Tanglin","Singapore","Singapore"
"1428","CHESTERVALE","31 Bangkit Road  #10-03",1,133,"Strata",1060000,"-",7970,740,"17-AUG-2020","Executive Condominium","99 Yrs From 17/03/1997","1999","Resale","HDB","23","67","679973","West Region","Bukit Panjang","Singapore","Singapore"
"1429","PARC ROSEWOOD","77 Rosewood Drive  #03-40",1,40,"Strata",506000,"-",12650,1175,"17-AUG-2020","Condominium","99 Yrs From 07/09/2011","2014","Resale","HDB","25","73","737786","North Region","Woodlands","Singapore","Singapore"
"1430","CITY SQUARE RESIDENCES","12 Kitchener Link  #17-22",1,115,"Strata",1965000,"-",17087,1587,"17-AUG-2020","Condominium","Freehold","2008","Resale","HDB","08","20","207224","Central Region","Kallang","Singapore","Singapore"
"1431","YISHUN SAPPHIRE","46 Canberra Drive  #10-09",1,110,"Strata",910000,"-",8273,769,"17-AUG-2020","Condominium","99 Yrs From 16/02/1998","2001","Resale","HDB","27","76","768436","North Region","Yishun","Singapore","Singapore"
"1432","CARDIFF RESIDENCE","103 Cardiff Grove  #03-34",1,39,"Strata",567000,"-",14538,1351,"17-AUG-2020","Condominium","99 Yrs From 04/11/2011","2014","Resale","HDB","19","55","558962","North East Region","Serangoon","Singapore","Singapore"
"1433","COSTA DEL SOL","78 Bayshore Road  #04-22",1,137,"Strata",1680000,"-",12263,1139,"17-AUG-2020","Condominium","99 Yrs From 05/05/1997","2003","Resale","Private","16","46","469991","East Region","Bedok","Singapore","Singapore"
"1434","THE TRE VER","68 Potong Pasir Avenue 1  #20-40",1,65,"Strata",1232000,"-",18954,1761,"17-AUG-2020","Condominium","99 Yrs From 27/03/2018","Uncompleted","New Sale","N.A","13","35","358395","Central Region","Toa Payoh","Singapore","Singapore"
"1435","THE MINTON","12C Hougang Street 11  #15-68",1,123,"Strata",1478000,"-",12016,1116,"17-AUG-2020","Condominium","99 Yrs From 27/07/2007","2013","Resale","HDB","19","53","534072","North East Region","Hougang","Singapore","Singapore"
"1436","MELVILLE PARK","24 Simei Street 1  #06-08",1,137,"Strata",1050000,"-",7664,712,"17-AUG-2020","Condominium","99 Yrs From 01/09/1992","1996","Resale","Private","18","52","529946","East Region","Tampines","Singapore","Singapore"
"1437","SIMS URBAN OASIS","6 Sims Drive  #06-23",1,73,"Strata",1100000,"-",15068,1400,"17-AUG-2020","Condominium","99 Yrs From 29/07/2014","2017","Resale","HDB","14","38","387388","Central Region","Geylang","Singapore","Singapore"
"1438","8 SAINT THOMAS","10 St. Thomas Walk  #31-09",1,121,"Strata",3820000,"-",31570,2933,"17-AUG-2020","Condominium","Freehold","2018","Resale","HDB","09","23","238102","Central Region","River Valley","Singapore","Singapore"
"1439","BOTANIQUE AT BARTLEY","229 Upper Paya Lebar Road  #02-23",1,46,"Strata",722000,"-",15696,1458,"17-AUG-2020","Condominium","99 Yrs From 14/04/2014","2019","Sub Sale","HDB","19","53","533871","North East Region","Serangoon","Singapore","Singapore"
"1440","HOLLAND RESIDENCES","1 Taman Warna  #03-04",1,135,"Strata",2830000,"-",20963,1948,"17-AUG-2020","Condominium","Freehold","2012","Resale","Private","10","27","276337","Central Region","Bukit Timah","Singapore","Singapore"
"1441","THE TAMPINES TRILLIANT","25 Tampines Central 7  #05-30",1,81,"Strata",915000,"-",11296,1049,"17-AUG-2020","Executive Condominium","99 Yrs From 13/07/2011","2015","Resale","Private","18","52","528610","East Region","Tampines","Singapore","Singapore"
"1442","BISHAN LOFT","31 Bishan Street 11  #07-01",1,128,"Strata",1500000,"-",11719,1089,"17-AUG-2020","Executive Condominium","99 Yrs From 13/12/2000","2003","Resale","Private","20","57","579819","Central Region","Bishan","Singapore","Singapore"
"1443","PARC VISTA","460 Corporation Road  #10-02",1,189,"Strata",1450000,"-",7672,713,"17-AUG-2020","Condominium","99 Yrs From 01/03/1995","1997","Resale","Private","22","64","649815","West Region","Jurong West","Singapore","Singapore"
"1444","GARDENVISTA","954 Dunearn Road  #01-14",1,116,"Strata",1580000,"-",13621,1265,"17-AUG-2020","Condominium","99 Yrs From 09/09/1999","2006","Resale","HDB","21","58","589483","Central Region","Bukit Timah","Singapore","Singapore"
"1445","MANDARIN GARDENS","5 Siglap Road  #05-46",1,142,"Strata",1508000,"-",10620,987,"17-AUG-2020","Condominium","99 Yrs From 08/03/1982","1986","Resale","Private","15","44","448908","East Region","Bedok","Singapore","Singapore"
"1446","CHANGI RISE CONDOMINIUM","18 Simei Rise  #09-45",1,105,"Strata",818000,"-",7790,724,"17-AUG-2020","Condominium","99 Yrs From 29/11/2000","2004","Resale","Private","18","52","528808","East Region","Tampines","Singapore","Singapore"
"1447","SIMS URBAN OASIS","10 Sims Drive  #10-37",1,38,"Strata",645000,"-",16974,1577,"17-AUG-2020","Condominium","99 Yrs From 29/07/2014","2017","Resale","HDB","14","38","387390","Central Region","Geylang","Singapore","Singapore"
"1448","SILVERSEA","50 Marine Parade Road  #03-15",1,90,"Strata",1650000,"-",18333,1703,"17-AUG-2020","Condominium","99 Yrs From 20/07/2007","2014","Resale","HDB","15","44","449307","Central Region","Marine Parade","Singapore","Singapore"
"1449","TREVISTA","23 Lorong 3 Toa Payoh  #39-11",1,119,"Strata",1880320,"-",15801,1468,"17-AUG-2020","Condominium","99 Yrs From 15/07/2008","2011","Resale","Private","12","31","319582","Central Region","Toa Payoh","Singapore","Singapore"
"1450","DUCHESS MANOR","20B Duchess Road  #03-12",1,99,"Strata",2050000,"-",20707,1924,"17-AUG-2020","Condominium","999 Yrs From 27/12/1875","2005","Resale","Private","10","26","269032","Central Region","Bukit Timah","Singapore","Singapore"
"1451","TREASURE AT TAMPINES","25 Tampines Lane  #11-87",1,61,"Strata",964000,"-",15803,1468,"17-AUG-2020","Condominium","99 Yrs From 29/11/2018","Uncompleted","New Sale","N.A","18","52","528473","East Region","Tampines","Singapore","Singapore"
"1452","CARIBBEAN AT KEPPEL BAY","30 Keppel Bay Drive  #08-45",1,113,"Strata",1700000,"-",15044,1398,"17-AUG-2020","Condominium","99 Yrs From 16/08/1999","2004","Resale","HDB","04","09","098650","Central Region","Bukit Merah","Singapore","Singapore"
"1453","PARC CANBERRA","9 Canberra Walk  #01-19",1,107,"Strata",1260000,"-",11776,1094,"17-AUG-2020","Executive Condominium","99 Yrs From 10/12/2018","Uncompleted","New Sale","N.A","27","75","756945","North Region","Sembawang","Singapore","Singapore"
"1454","MEIER SUITES","10 Margate Road  #14-04",1,167,"Strata",3068000,"-",18371,1707,"17-AUG-2020","Condominium","Freehold","2012","Resale","HDB","15","43","438051","Central Region","Marine Parade","Singapore","Singapore"
"1455","SIMS URBAN OASIS","10 Sims Drive  #09-35",1,58,"Strata",925000,"-",15948,1482,"17-AUG-2020","Condominium","99 Yrs From 29/07/2014","2017","Resale","Private","14","38","387390","Central Region","Geylang","Singapore","Singapore"
"1456","SKYLINE RESIDENCES","610 Telok Blangah Road  #06-04",1,77,"Strata",1560000,"-",20260,1882,"17-AUG-2020","Condominium","Freehold","2015","Resale","Private","04","10","109025","Central Region","Bukit Merah","Singapore","Singapore"
"1457","SEA ESTA","22 Pasir Ris Link  #09-17",1,105,"Strata",1287000,"-",12257,1139,"17-AUG-2020","Condominium","99 Yrs From 09/01/2012","2015","Resale","Private","18","51","518158","East Region","Pasir Ris","Singapore","Singapore"
"1458","JADESCAPE","10 Shunfu Road  #05-40",1,195,"Strata",3392000,"-",17395,1616,"17-AUG-2020","Condominium","99 Yrs From 19/06/2018","Uncompleted","New Sale","N.A","20","57","575746","Central Region","Bishan","Singapore","Singapore"
"1459","KERRISDALE","30 Sturdee Road  #23-02",1,118,"Strata",1450000,"-",12288,1142,"17-AUG-2020","Condominium","99 Yrs From 02/04/1998","2005","Resale","Private","08","20","207852","Central Region","Kallang","Singapore","Singapore"
"1460","VIVA","2 Suffolk Walk  #07-02",1,141,"Strata",3128000,"-",22184,2061,"17-AUG-2020","Condominium","Freehold","2012","Resale","Private","11","30","307462","Central Region","Novena","Singapore","Singapore"
"1461","THE TAMPINES TRILLIANT","11 Tampines Central 7  #03-01",1,128,"Strata",1200000,"-",9375,871,"17-AUG-2020","Executive Condominium","99 Yrs From 13/07/2011","2015","Resale","HDB","18","52","528769","East Region","Tampines","Singapore","Singapore"
"1462","BOTANNIA","27B West Coast Park  #01-10",1,147,"Strata",1660000,"-",11293,1049,"17-AUG-2020","Condominium","956 Yrs From 27/05/1928","2009","Resale","Private","05","12","127722","West Region","Clementi","Singapore","Singapore"
"1463","FORESTVILLE","38 Woodlands Drive 16  #11-37",1,101,"Strata",950000,"-",9406,874,"17-AUG-2020","Executive Condominium","99 Yrs From 06/08/2012","2016","Resale","HDB","25","73","737773","North Region","Woodlands","Singapore","Singapore"
"1464","THE TREVOSE","56 Trevose Crescent  #04-01",1,165,"Strata",1950000,"-",11818,1098,"17-AUG-2020","Condominium","99 Yrs From 14/12/1996","2001","Resale","Private","11","29","298088","Central Region","Novena","Singapore","Singapore"
"1465","DAINTREE RESIDENCE","11G Toh Tuck Road  #04-37",1,112,"Strata",1863280,"-",16636,1546,"16-AUG-2020","Condominium","99 Yrs From 17/07/2017","Uncompleted","New Sale","N.A","21","59","596129","Central Region","Bukit Timah","Singapore","Singapore"
