,Unnamed: 0,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,unit_price,full_address,gcode,lat,long
49,50,2020-01,ANG MO KIO,4 ROOM,536,ANG MO KIO AVE 10,07 TO 09,93.0,New Generation,1980,59 years 02 months,383000.0,4118.27956989247,536 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
50,51,2020-01,ANG MO KIO,4 ROOM,473,ANG MO KIO AVE 10,10 TO 12,91.0,New Generation,1984,63 years 07 months,345000.0,3791.2087912087895,473 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
51,52,2020-01,ANG MO KIO,4 ROOM,466,ANG MO KIO AVE 10,01 TO 03,93.0,New Generation,1984,63 years 08 months,328000.0,3526.88172043011,466 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
52,53,2020-01,ANG MO KIO,4 ROOM,413,ANG MO KIO AVE 10,04 TO 06,92.0,New Generation,1979,58 years 07 months,360000.0,3913.0434782608704,413 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
53,54,2020-01,ANG MO KIO,4 ROOM,419,ANG MO KIO AVE 10,04 TO 06,99.0,New Generation,1979,58 years 07 months,360000.0,3636.36363636364,419 ANG MO KIO AVE 10 Singapore,"419, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560419, Singapore",1.36529435,103.85415376916289
54,55,2020-01,ANG MO KIO,4 ROOM,559,ANG MO KIO AVE 10,04 TO 06,92.0,New Generation,1980,59 years,345000.0,3750.0,559 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
55,56,2020-01,ANG MO KIO,4 ROOM,412,ANG MO KIO AVE 10,01 TO 03,92.0,New Generation,1979,58 years 07 months,370000.0,4021.73913043478,412 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
56,57,2020-01,ANG MO KIO,4 ROOM,419,ANG MO KIO AVE 10,10 TO 12,99.0,New Generation,1979,58 years 07 months,452000.0,4565.656565656571,419 ANG MO KIO AVE 10 Singapore,"419, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560419, Singapore",1.36529435,103.85415376916289
57,58,2020-01,ANG MO KIO,4 ROOM,325,ANG MO KIO AVE 3,07 TO 09,98.0,New Generation,1978,57 years 08 months,500000.0,5102.040816326529,325 ANG MO KIO AVE 3 Singapore,"325, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560325, Singapore",1.36787115,103.8469092485258
58,59,2020-01,ANG MO KIO,4 ROOM,325,ANG MO KIO AVE 3,01 TO 03,98.0,New Generation,1978,57 years 08 months,435000.0,4438.775510204079,325 ANG MO KIO AVE 3 Singapore,"325, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560325, Singapore",1.36787115,103.8469092485258
