left,top,right,bottom,id
103.7256945344900032,1.1720660897019899,103.7456945344899992,1.1520660897019899,"112"
103.7656945344899952,1.2120660897019899,103.7856945344899913,1.1920660897019899,"142"
103.7656945344899952,1.2520660897019900,103.7856945344899913,1.2320660897019899,"140"
103.7656945344899952,1.2320660897019899,103.7856945344899913,1.2120660897019899,"141"
103.7656945344899952,1.2920660897019900,103.7856945344899913,1.2720660897019900,"138"
103.7656945344899952,1.2720660897019900,103.7856945344899913,1.2520660897019900,"139"
103.7656945344899952,1.3320660897019900,103.7856945344899913,1.3120660897019900,"136"
103.7656945344899952,1.3120660897019900,103.7856945344899913,1.2920660897019900,"137"
103.7656945344899952,1.3720660897019898,103.7856945344899913,1.3520660897019898,"134"
103.7656945344899952,1.3520660897019900,103.7856945344899913,1.3320660897019900,"135"
